id	title	meter	full	p1	p2	p3	p4	pr_p1	pr_p2	pr_p3	pr_p4	needs_split_practice	has_p12	has_p34	अर्थः	meaning
niti_018	नीतिशतकम् 18	वसन्ततिलका--> उक्ता वसन्ततिलका तभजाः जगौ गः	अम्भोजिनी-वन-विहार-विलासमेव हंसस्य हन्ति नितरां कुपितो विधाता । न त्वस्य दुग्ध-जल-भेद-विधौ प्रसिद्धां वैदग्धी-कीर्तिमपहर्तुमसौ समर्थः ॥	अम्भोजिनी-वन-विहार-विलासमेव	 हंसस्य हन्ति नितरां कुपितो विधाता । 	न त्वस्य दुग्ध-जल-भेद-विधौ प्रसिद्धाम्	वैदग्धी-कीर्तिमपहर्तुमसौ समर्थः ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	An angered Creator can, at most, destroy a swan's pleasure of sporting in a lotus forest. But He is not capable of taking away its famous skill in separating milk from water.
niti_019	नीतिशतकम् 19	शार्दूलविक्रीडितम् -->  सूर्याश्वैर्यदि मः सजौ सततगाः शार्दूलविक्रीडितम्	केयूराणि न भूषयन्ति पुरुषं हारा न चन्द्रोज्ज्वला न स्नानं न विलेपनं न कुसुमं नालङ्कृता मूर्धजाः । वाण्येका समलङ्करोति पुरुषं या संस्कृता धार्यते क्षीयन्ते खलु भूषणानि सततं वाग्-भूषणं भूषणम् ॥	केयूराणि न भूषयन्ति पुरुषं हारा न चन्द्रोज्ज्वला	न स्नानं न विलेपनं न कुसुमं नालङ्कृता मूर्धजाः । 	वाण्येका समलङ्करोति पुरुषं या संस्कृता धार्यते	 क्षीयन्ते खलु भूषणानि सततं वाग्-भूषणं भूषणम् ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	Bracelets do not adorn a man, nor do moon-bright necklaces, nor bathing, nor ointments, nor flowers, nor decorated hair. Only a refined speech that is cultivated truly adorns a person. All other ornaments perish over time; the ornament of speech is the only lasting ornament.
niti_020	नीतिशतकम् 20	शार्दूलविक्रीडितम् -->  सूर्याश्वैर्यदि मः सजौ सततगाः शार्दूलविक्रीडितम्	विद्या नाम नरस्य रूपमधिकं प्रच्छन्न-गुप्तं धनं विद्या भोगकरी यशः-सुखकरी विद्या गुरूणां गुरुः । विद्या बन्धुजनो विदेश-गमने विद्या परम् दैवतम् विद्या राजसु पूज्यते न हि धनं विद्या-विहीनः पशुः ॥	विद्या नाम नरस्य रूपमधिकं प्रच्छन्न-गुप्तं धनम्	विद्या भोगकरी यशः-सुखकरी विद्या गुरूणां गुरुः ।	विद्या बन्धुजनो विदेश-गमने विद्या परम् दैवतम्	विद्या राजसु पूज्यते न हि धनं विद्या-विहीनः पशुः ॥					FALSE	TRUE	TRUE	संस्कृतार्थम्  अत्र स्थापयामि	 Knowledge is a person's true beauty, a well-concealed treasure. It brings enjoyment, fame, and happiness. Knowledge is the teacher of teachers. It is a kinsman in foreign lands and the supreme deity. Knowledge, not wealth, is honored by kings. A person without knowledge is but an animal.
niti_021	नीतिशतकम् 21															
niti_022	नीतिशतकम् 22															
niti_023	नीतिशतकम् 23															
niti_024	नीतिशतकम् 24															
niti_025	नीतिशतकम् 25															
niti_026	नीतिशतकम् 26															
niti_027	नीतिशतकम् 27															
niti_028	नीतिशतकम् 28															
niti_029	नीतिशतकम् 29															
niti_030	नीतिशतकम् 30															
niti_031	नीतिशतकम् 31															
niti_032	नीतिशतकम् 32															
niti_033	नीतिशतकम् 33															
niti_034	नीतिशतकम् 34															
niti_035	नीतिशतकम् 35															
niti_036	नीतिशतकम् 36															
niti_037	नीतिशतकम् 37															
niti_038	नीतिशतकम् 38															
niti_039	नीतिशतकम् 39															
niti_040	नीतिशतकम् 40															
niti_041	नीतिशतकम् 41															
niti_042	नीतिशतकम् 42															
niti_043	नीतिशतकम् 43															
niti_044	नीतिशतकम् 44															
niti_045	नीतिशतकम् 45															
niti_046	नीतिशतकम् 46															
niti_047	नीतिशतकम् 47															
niti_048	नीतिशतकम् 48															
niti_049	नीतिशतकम् 49															
niti_050	नीतिशतकम् 50															
niti_051	नीतिशतकम् 51															
niti_052	नीतिशतकम् 52															
niti_053	नीतिशतकम् 53															
niti_054	नीतिशतकम् 54															
niti_055	नीतिशतकम् 55															
niti_056	नीतिशतकम् 56															
niti_057	नीतिशतकम् 57															
niti_058	नीतिशतकम् 58															
niti_059	नीतिशतकम् 59															
niti_060	नीतिशतकम् 60															
niti_061	नीतिशतकम् 61															
niti_062	नीतिशतकम् 62															
niti_063	नीतिशतकम् 63															
niti_064	नीतिशतकम् 64															
niti_065	नीतिशतकम् 65															
niti_066	नीतिशतकम् 66															
niti_067	नीतिशतकम् 67															
niti_068	नीतिशतकम् 68															
niti_069	नीतिशतकम् 69															
niti_070	नीतिशतकम् 70															
niti_071	नीतिशतकम् 71															
niti_072	नीतिशतकम् 72															
niti_073	नीतिशतकम् 73															
niti_074	नीतिशतकम् 74															
niti_075	नीतिशतकम् 75															
niti_076	नीतिशतकम् 76															
niti_077	नीतिशतकम् 77															
niti_078	नीतिशतकम् 78															
niti_079	नीतिशतकम् 79															
niti_080	नीतिशतकम् 80															
niti_081	नीतिशतकम् 81															
niti_082	नीतिशतकम् 82															
niti_083	नीतिशतकम् 83															
niti_084	नीतिशतकम् 84															
niti_085	नीतिशतकम् 85															
niti_086	नीतिशतकम् 86															
niti_087	नीतिशतकम् 87															
niti_088	नीतिशतकम् 88															
niti_089	नीतिशतकम् 89															
niti_090	नीतिशतकम् 90															
niti_091	नीतिशतकम् 91															
niti_092	नीतिशतकम् 92															
niti_093	नीतिशतकम् 93															
niti_094	नीतिशतकम् 94															
niti_095	नीतिशतकम् 95															
niti_096	नीतिशतकम् 96															
niti_097	नीतिशतकम् 97															
niti_098	नीतिशतकम् 98															
niti_099	नीतिशतकम् 99															
niti_100	नीतिशतकम् 100															
